Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2021-08-17,4448.08007812,4462.12011719,4417.83007812,4462.12011719,3836960000
2021-08-18,4400.27001953,4454.31982422,4397.58984375,4440.93994141,3755590000
2021-08-19,4405.79980469,4418.60986328,4367.72998047,4382.43994141,4398410000
2021-08-20,4441.66992188,4444.35009766,4406.79980469,4410.56005859,3652610000
2021-08-23,4479.52978516,4489.87988281,4450.29003906,4450.29003906,3576530000
2021-08-24,4486.22998047,4492.81005859,4482.27978516,4484.39990234,3979220000
2021-08-25,4496.18994141,4501.70996094,4485.66015625,4490.45019531,3444700000
2021-08-26,4470.00000000,4495.89990234,4468.99023438,4493.75000000,3263980000
2021-08-27,4509.37011719,4513.33007812,4474.10009766,4474.10009766,3331200000
2021-08-30,4528.79003906,4537.35986328,4513.75976562,4513.75976562,3168660000
2021-08-31,4522.68017578,4531.39013672,4515.79980469,4529.75000000,4290710000
2021-09-01,4524.08984375,4537.10986328,4522.02001953,4528.79980469,4057340000
2021-09-02,4536.95019531,4545.85009766,4524.66015625,4534.47998047,3735990000
2021-09-03,4535.43017578,4541.45019531,4521.29980469,4532.41992188,3217530000
2021-09-07,4520.02978516,4535.37988281,4513.00000000,4535.37988281,3822960000
2021-09-08,4514.06982422,4521.79003906,4493.95019531,4518.08984375,3750880000
2021-09-09,4493.27978516,4529.89990234,4492.06982422,4513.02001953,3735390000
2021-09-10,4458.58007812,4520.47021484,4457.66015625,4506.91992188,3623180000
2021-09-13,4468.72998047,4492.99023438,4445.70019531,4474.81005859,3914220000
2021-09-14,4443.04980469,4485.68017578,4435.45996094,4479.33007812,3670460000
2021-09-15,4480.70019531,4486.87011719,4438.37011719,4447.49023438,4032020000
2021-09-16,4473.75000000,4485.87011719,4443.79980469,4477.08984375,3984560000
2021-09-17,4432.99023438,4471.52001953,4427.75976562,4469.74023438,7289530000
2021-09-20,4357.72998047,4402.95019531,4305.91015625,4402.95019531,4898070000
2021-09-21,4354.18994141,4394.87011719,4347.95996094,4374.45019531,3920920000
2021-09-22,4395.64013672,4416.75000000,4367.43017578,4367.43017578,3939170000
2021-09-23,4448.97998047,4465.39990234,4406.75000000,4406.75000000,3916350000
2021-09-24,4455.47998047,4463.12011719,4430.27001953,4438.04003906,3384290000
2021-09-27,4443.10986328,4457.29980469,4436.18994141,4442.12011719,4058650000
2021-09-28,4352.62988281,4419.54003906,4346.33007812,4419.54003906,4416550000
2021-09-29,4359.45996094,4385.56982422,4355.08007812,4362.41015625,3712660000
2021-09-30,4307.54003906,4382.54980469,4306.24023438,4370.66992188,4448140000
2021-10-01,4357.04003906,4375.18994141,4288.52001953,4317.16015625,4010370000
2021-10-04,4300.45996094,4355.50976562,4278.93994141,4348.83984375,4307870000
2021-10-05,4345.72021484,4369.22998047,4309.87011719,4309.87011719,3902890000
2021-10-06,4363.54980469,4365.56982422,4290.49023438,4319.56982422,4009630000
2021-10-07,4399.75976562,4429.97021484,4383.72998047,4383.72998047,3843740000
2021-10-08,4391.33984375,4412.02001953,4386.22021484,4406.50976562,3280160000
2021-10-11,4361.18994141,4415.87988281,4360.58984375,4385.43994141,3281970000
2021-10-12,4350.64990234,4374.89013672,4342.08984375,4368.31005859,3558450000
2021-10-13,4363.79980469,4372.87011719,4329.91992188,4358.00976562,3620070000
2021-10-14,4438.25976562,4439.72998047,4386.75000000,4386.75000000,3598280000
2021-10-15,4471.37011719,4475.81982422,4447.68994141,4447.68994141,3819380000
2021-10-18,4486.45996094,4488.75000000,4447.47021484,4463.72021484,3662010000
2021-10-19,4519.62988281,4520.39990234,4496.41015625,4497.33984375,3459130000
2021-10-20,4536.18994141,4540.87011719,4524.39990234,4524.41992188,3670760000
2021-10-21,4549.77978516,4551.43994141,4526.89013672,4532.24023438,3822330000
2021-10-22,4544.89990234,4559.66992188,4524.00000000,4546.12011719,3758220000
2021-10-25,4566.47998047,4572.62011719,4537.35986328,4553.68994141,3899400000
2021-10-26,4574.79003906,4598.52978516,4569.16992188,4578.68994141,3879740000
2021-10-27,4551.68017578,4584.56982422,4551.66015625,4580.22021484,4226050000
2021-10-28,4596.41992188,4597.54980469,4562.83984375,4562.83984375,4132950000
2021-10-29,4605.37988281,4608.08007812,4567.58984375,4572.87011719,4510200000
2021-11-01,4613.66992188,4620.33984375,4595.06005859,4610.62011719,3971540000
2021-11-02,4630.64990234,4635.14990234,4613.33984375,4613.33984375,3975250000
2021-11-03,4660.56982422,4663.45996094,4621.18994141,4630.64990234,4319660000
2021-11-04,4680.06005859,4683.00000000,4662.58984375,4662.93017578,4462300000
2021-11-05,4697.52978516,4718.50000000,4681.31982422,4699.25976562,4467180000
2021-11-08,4701.70019531,4714.91992188,4694.39013672,4701.47998047,4269710000
2021-11-09,4685.25000000,4708.52978516,4670.87011719,4707.25000000,4117080000
2021-11-10,4646.70996094,4684.85009766,4630.85986328,4670.25976562,4503720000
2021-11-11,4649.27001953,4664.54980469,4648.31005859,4659.39013672,3926870000
2021-11-12,4682.85009766,4688.47021484,4650.77001953,4655.24023438,3728600000
2021-11-15,4682.79980469,4697.41992188,4672.85986328,4689.29980469,3488410000
